615934.936183261
344837.788689033
239281.856947661
226244.336326461
217421.875292399
215464.096398575
215019.15489805
214846.394982058
214789.256928547
214789.256928547
---
216279
215723.436629073
1207.907
0.002568735
214789.256928547
1345.4
105.806
28.156
1211.426
---
0;1;1;1;6;
1;1;3;1;6;
2;2;1;1;6;
3;2;3;1;6;
4;3;1;1;9;
5;3;3;1;9;
6;4;1;1;7;
7;4;3;1;7;
8;5;1;3;6;
9;5;2;3;6;
10;5;3;3;6;
11;6;1;3;8;
12;6;2;3;8;
13;6;3;3;8;
14;7;1;3;6;
15;7;2;3;6;
16;7;3;3;6;
17;8;1;3;8;
18;8;2;3;8;
19;8;3;3;8;
20;9;1;6;11;
21;9;3;6;11;
22;10;1;6;8;
23;10;3;6;8;
24;11;1;6;6;
25;11;3;6;6;
26;12;1;6;6;
27;12;3;6;6;
28;13;1;6;12;
29;13;3;6;12;
30;14;1;6;9;
31;14;3;6;9;
32;15;1;6;8;
33;15;3;6;8;
34;16;1;7;5;
35;16;3;7;5;
36;17;1;7;8;
37;17;3;7;8;
38;18;1;7;6;
39;18;3;7;6;
40;19;1;7;6;
41;19;3;7;6;
42;20;1;7;10;
43;20;3;7;10;
44;21;1;7;5;
45;21;3;7;5;
46;22;1;9;8;
47;22;2;9;8;
48;22;3;9;8;
49;23;1;9;8;
50;23;2;9;8;
51;23;3;9;8;
52;24;1;9;10;
53;24;2;9;10;
54;24;3;9;10;
55;25;1;12;11;
56;25;2;12;11;
57;25;3;12;11;
58;26;1;12;7;
59;26;2;12;7;
60;26;3;12;7;
61;27;1;12;9;
62;27;2;12;9;
63;27;3;12;9;
64;28;1;12;7;
65;28;2;12;7;
66;28;3;12;7;
67;29;1;12;8;
68;29;2;12;8;
69;29;3;12;8;
70;30;1;14;11;
71;30;3;14;11;
72;31;1;14;8;
73;31;3;14;8;
74;32;1;14;8;
75;32;3;14;8;
76;33;1;14;10;
77;33;3;14;10;
78;34;1;14;6;
79;34;3;14;6;
80;35;1;14;6;
81;35;3;14;6;
82;2;1;1;6;
82;3;1;1;1;
83;2;3;1;6;
83;3;3;1;1;
84;1;1;2;6;
85;1;3;2;6;
86;5;1;3;3;
86;7;1;3;1;
86;8;1;3;3;
87;5;2;3;3;
87;7;2;3;1;
87;8;2;3;3;
88;5;3;3;3;
88;7;3;3;1;
88;8;3;3;3;
89;5;1;4;6;
89;8;1;4;1;
90;5;2;4;6;
90;8;2;4;1;
91;5;3;4;6;
91;8;3;4;1;
92;5;1;5;5;
92;6;1;5;2;
93;5;2;5;5;
93;6;2;5;2;
94;5;3;5;5;
94;6;3;5;2;
95;12;1;6;6;
95;15;1;6;1;
96;12;3;6;6;
96;15;3;6;1;
97;17;1;7;5;
97;19;1;7;3;
98;17;3;7;5;
98;19;3;7;3;
99;19;1;8;6;
99;21;1;8;2;
100;19;3;8;6;
100;21;3;8;2;
101;23;1;9;8;
101;24;1;9;1;
102;23;2;9;8;
102;24;2;9;1;
103;23;3;9;8;
103;24;3;9;1;
104;23;1;10;4;
104;24;1;10;5;
105;23;2;10;4;
105;24;2;10;5;
106;23;3;10;4;
106;24;3;10;5;
107;23;1;11;5;
107;24;1;11;3;
108;23;2;11;5;
108;24;2;11;3;
109;23;3;11;5;
109;24;3;11;3;
110;27;1;12;1;
110;29;1;12;8;
111;27;2;12;1;
111;29;2;12;8;
112;27;3;12;1;
112;29;3;12;8;
113;27;1;13;1;
113;28;1;13;1;
113;29;1;13;7;
114;27;2;13;1;
114;28;2;13;1;
114;29;2;13;7;
115;27;3;13;1;
115;28;3;13;1;
115;29;3;13;7;
116;33;1;14;1;
116;34;1;14;1;
116;35;1;14;5;
117;33;3;14;1;
117;34;3;14;1;
117;35;3;14;5;
118;34;1;15;1;
118;35;1;15;6;
119;34;3;15;1;
119;35;3;15;6;
120;2;1;2;6;
121;2;3;2;6;
122;5;1;3;4;
122;6;1;3;3;
123;5;2;3;4;
123;6;2;3;3;
124;5;3;3;4;
124;6;3;3;3;
125;5;1;4;6;
125;6;1;4;1;
126;5;2;4;6;
126;6;2;4;1;
127;5;3;4;6;
127;6;3;4;1;
128;17;1;7;1;
128;19;1;7;6;
129;17;3;7;1;
129;19;3;7;6;
130;16;1;8;2;
130;19;1;8;6;
131;16;3;8;2;
131;19;3;8;6;
132;26;1;13;1;
132;27;1;13;1;
132;29;1;13;7;
133;26;2;13;1;
133;27;2;13;1;
133;29;2;13;7;
134;26;3;13;1;
134;27;3;13;1;
134;29;3;13;7;
135;23;1;10;8;
136;23;2;10;8;
137;23;3;10;8;
138;1;1;1;5;
138;3;1;1;2;
